onset	duration	task	sentence_id	word	word_id	complete_type
0.0124716553288	0.013754595584851304	lombard	1	sp	1	B
0.026226250913651303	0.1758145654133487	lombard	1	GLUE	2	B
0.202040816327	0.09993034502428122	lombard	1	THE	3	B
0.3019711613512812	0.3091399497597188	lombard	1	SHEET	4	B
0.611111111111	0.12970521542000002	lombard	1	TO	5	B
0.740816326531	0.07981859410399994	lombard	1	THE	6	B
0.820634920635	0.25941043083499993	lombard	1	DARK	7	B
1.08004535147	0.25941043084000004	lombard	1	BLUE	8	B
1.33945578231	0.55873015873	lombard	1	BACKGROUND	9	B
1.89818594104	0.019954648530000174	lombard	1	sp	10	B
0.0124716553288	0.16961451247120002	lombard	2	THERE	1	B
0.1820861678	0.029931972789999983	lombard	2	ARE	2	B
0.21201814059	0.30929705215399994	lombard	2	MORE	3	B
0.521315192744	0.12970521541900004	lombard	2	THAN	4	B
0.651020408163	0.279365079365	lombard	2	TWO	5	B
0.930385487528	0.4789115646219999	lombard	2	FACTORS	6	B
1.40929705215	0.30929705216000003	lombard	2	HERE	7	B
1.71859410431	0.09977324262999998	lombard	2	sp	8	B
0.0124716553288	0.059863945578200004	lombard	3	THE	1	B
0.072335600907	0.35918367346900004	lombard	3	PLANT	2	B
0.431519274376	0.15963718820899997	lombard	3	GREW	3	B
0.591156462585	0.329523878420908	lombard	3	LARGE	4	B
0.920680341005908	0.14861265970533888	lombard	3	AND	5	B
1.0692930007112469	0.28014010586875315	lombard	3	GREEN	6	B
1.34943310658	0.09977324262999998	lombard	3	IN	7	B
1.44920634921	0.05986394557000008	lombard	3	THE	8	B
1.50907029478	0.38911564625999984	lombard	3	WINDOW	9	B
0.0124716553288	0.2594104308392	lombard	4	FILL	1	B
0.271882086168	0.109750566893	lombard	4	THE	2	B
0.381632653061	0.19954648526099994	lombard	4	INK	3	B
0.581179138322	0.279365079365	lombard	4	JAR	4	B
0.860544217687	0.119727891157	lombard	4	WITH	5	B
0.980272108844	0.4190476190460001	lombard	4	STICKY	6	B
1.39931972789	0.4190476190499999	lombard	4	GLUE	7	B
1.81836734694	0.08979591837000012	lombard	4	sp	8	B
0.0124716553288	0.2693877551022	lombard	5	CODE	1	B
0.281859410431	0.169614512471	lombard	5	IS	2	B
0.451473922902	0.2921600963858582	lombard	5	USED	3	B
0.7436340192878582	0.16679681971414173	lombard	5	WHEN	4	B
0.910430839002	0.40907029478800006	lombard	5	SECRETS	5	B
1.31950113379	0.1396825396800001	lombard	5	ARE	6	B
1.45918367347	0.2693877550999999	lombard	5	SENT	7	B
0.0124716553288	0.15400402441277472	lombard	6	HE	1	B
0.1664756797415747	0.32490754021342527	lombard	6	OFFERED	2	B
0.491383219955	0.35918367346900004	lombard	6	PROOF	3	B
0.850566893424	0.06984126984099992	lombard	6	IN	4	B
0.920408163265	0.07981859410500014	lombard	6	THE	5	B
1.00022675737	0.28934240362999986	lombard	6	FORM	6	B
1.289569161	0.08979591837000012	lombard	6	OF	7	B
1.37936507937	0.029931972779999816	lombard	6	A	8	B
1.40929705215	0.38911564626000006	lombard	6	LARGE	9	B
1.79841269841	0.35918367347	lombard	6	CHART	10	B
0.0124716553288	0.2693877551022	lombard	7	OATS	1	A
0.281859410431	0.179591836735	lombard	7	ARE	2	A
0.461451247166	0.029931972789000005	lombard	7	A	3	A
0.491383219955	0.339229024943	lombard	7	FOOD	4	A
0.830612244898	0.2693877551020001	lombard	7	EATEN	5	A
1.1	0.18956916099999988	lombard	7	BY	6	A
1.289569161	0.33922902494000007	lombard	7	HORSE	7	A
1.62879818594	0.10975056689000007	lombard	7	AND	8	A
1.73854875283	0.34920634920999993	lombard	7	MAN	9	A
0.0124716553288	0.1396825396822	lombard	8	THERE	1	B
0.152154195011	0.039909297052	lombard	8	ARE	2	B
0.192063492063	0.30929705215500003	lombard	8	MANY	3	B
0.501360544218	0.26938775510199997	lombard	8	WAYS	4	B
0.77074829932	0.00997732426300002	lombard	8	sp	5	B
0.780725623583	0.14965986394499997	lombard	8	TO	6	B
0.930385487528	0.17959183673199997	lombard	8	DO	7	B
1.10997732426	0.16961451247000014	lombard	8	THESE	8	B
1.27959183673	0.5188208616799999	lombard	8	THINGS	9	B
0.0124716553288	0.0897959183672	lombard	9	THEY	1	A
0.102267573696	0.29931972789100003	lombard	9	SANG	2	A
0.401587301587	0.06984126984200001	lombard	9	THE	3	A
0.471428571429	0.299319727891	lombard	9	SAME	4	A
0.77074829932	0.5088435374100001	lombard	9	TUNES	5	A
1.27959183673	0.10975056689999985	lombard	9	AT	6	A
1.38934240363	0.21950113378000013	lombard	9	EACH	7	A
1.60884353741	0.43900226758000005	lombard	9	PARTY	8	A
0.0124716553288	0.059863945578200004	lombard	10	THE	1	B
0.072335600907	0.209523809524	lombard	10	ROOF	2	B
0.281859410431	0.21950113378700004	lombard	10	SHOULD	3	B
0.501360544218	0.14965986394499997	lombard	10	BE	4	B
0.651020408163	0.5487528344670001	lombard	10	TILTED	5	B
1.19977324263	0.14965986394999997	lombard	10	AT	6	B
1.34943310658	0.0399092970499999	lombard	10	A	7	B
1.38934240363	0.34920634920000015	lombard	10	SHARP	8	B
1.73854875283	0.4489795918399999	lombard	10	SLANT	9	B
2.18752834467	0.06984126983999994	lombard	10	sp	10	B
